name,rating,total_rank
JM Dynamic Debt Dir,2,854
SBI Dynamic Bond Dir,4,855
Parag Parikh Liquid Dir,1,856
Baroda Ultra Short Duration Dir,3,858
DSP Strategic Bond Dir,3,862
L&T Resurgent India Bond Dir,3,864
IDFC Dynamic Bond Dir,4,865
JM Money Market Dir,1,865
Motilal Oswal Liquid Dir,1,867
ABSL Credit Risk Dir,3,871
HDFC Gilt Dir,2,872
Tata Ultra Short Term Dir,3,872
Canara Robeco Income Dir,4,875
Nippon India Gilt Securities Inst Dir,5,876
Kotak Gilt Inv PF & Trust Direct,3,877
Edelweiss Dynamic Bond Dir,5,877
Kotak Gilt Investment Dir,3,882
Kotak Bond Dir,3,883
Sundaram Medium Term Bond Dir,3,883
UTI Treasury Advantage Dir,2,886
ABSL Govt Securities Dir,4,895
IDBI Ultra Short Term Dir,3,897
BNP Paribas Corporate Bond Dir,2,901
UTI Banking & PSU Debt Dir,1,901
Principal Ultra Short Term Dir,2,910
Axis Gilt Dir,4,916
LIC MF GSF Dir,4,917
DSP Bond Dir,2,920
UTI Short-term Income Dir,2,920
PGIM India Gilt Dir,3,923
Sundaram Low Duration Dir,2,925
Union Liquid Dir,3,928
Mahindra Manulife Credit Risk Fund Dir,4,929
PGIM India Dynamic Bond Dir,4,930
Sundaram Money Market Dir,2,934
UTI Gilt Dir,3,935
L&T Gilt Dir,3,937
Nippon India Income Dir,4,944
DSP Credit Risk Dir,3,945
Invesco India Credit Risk Dir,3,951
ABSL Medium Term Dir,2,954
LIC MF Bond Dir,3,957
Tata Money Market Dir,4,957
Nippon India Ultra Short Duration Dir,2,960
Indiabulls Savings Dir,1,960
Union Dynamic Bond Dir,3,963
YES Liquid Dir,2,965
Sundaram Short Term Debt Dir,1,967
HSBC Low Duration Dir,2,967
L&T Flexi Bond Dir,4,970
Indiabulls Dynamic Bond Dir,3,971
Principal Short Term Debt Dir,2,974
JM Income Dir,2,978
HSBC Short Duration Dir,2,979
JM Low Duration Dir,2,983
Quantum Dynamic Bond Dir,3,983
IDFC Bond Income Dir,3,995
Taurus Liquid Dir,1,996
PGIM India Short Maturity Dir,2,1004
Canara Robeco Gilt Dir,2,1023
BNP Paribas Flexi Debt Dir,3,1024
L&T Credit Risk Dir,3,1024
Tata Medium Term Dir,1,1029
Principal Low Duration Dir,2,1032
IDBI Short Term Bond Dir,2,1034
ABSL Dynamic Bond Dir,2,1044
HDFC Income Dir,2,1046
JM Ultra Short Duration Dir,1,1055
Canara Robeco Dynamic Bond Dir,3,1065
Baroda Gilt Dir,2,1072
Tata GSF Dir,2,1074
HSBC Flexi Debt Dir,3,1076
HDFC Dynamic Debt Dir,2,1087
Baroda Credit Risk Dir,3,1090
Quant Dynamic Bond Dir,2,1091
Invesco India Gilt Dir,2,1095
Sundaram ST Credit Risk Dir,2,1095
HSBC Debt Dir,2,1102
Principal Cash Mgmt Dir,2,1103
Nippon India Credit Risk Dir,2,1103
UTI Medium Term Dir,2,1112
Franklin Govt Securities Dir,1,1114
PGIM India Credit Risk Dir,2,1114
IDBI Dynamic Bond Dir,2,1116
BNP Paribas Medium Term Dir,2,1129
BOI AXA ST Income Dir,1,1133
JM Short-term Dir,2,1147
Edelweiss Corporate Bond Dir,1,1147
IDBI Gilt Dir,1,1159
UTI Dynamic Bond Dir,1,1181
UTI Bond Dir,1,1188
IDBI Credit Risk Dir,2,1197
Baroda Treasury Advantage Dir,1,1199
PGIM India Low Duration Dir,2,1203
Nippon India Strategic Debt Dir,1,1222
BOI AXA Credit Risk Dir,1,1227
UTI Credit Risk Dir,1,1236
Motilal Oswal Ultra Short Term Dir,1,1241
Edelweiss Low Duration Dir,2,1241
Baroda Dynamic Bond Dir,2,1258
